id,title,description,link,image_link,price,sale_price,availability,condition,google_product_category,product_type,brand,identifier_exists,gender,age_group,mpn,shipping,shipping_weight,tax,ads_redirect,mobile_link,canonical_link,promotion_id
wb-adult-intl-2026,Waterbom Bali Single Day Pass — Adult International (12+),Official Waterbom Bali e-ticket for international adults aged 12+. Full-day access to all 17 slides and attractions. Instant QR e-voucher delivered by email. Secure 256-bit SSL checkout. Use promo code SPLASH5 for 5% off.,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/uploads/waterbom-park-aerial.webp,128.57 USD,,in stock,new,Sporting Goods > Water Sports > Water Parks > Admission Tickets,Tickets > Single Day Pass > Adult International,Waterbom Bali,no,unisex,adult,WB-ADULT-INTL-2026,ID::0::0,0 kg,ID::0::0,,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/tickets,SPLASH5
wb-child-intl-2026,Waterbom Bali Single Day Pass — Child International (2-11),Official Waterbom Bali e-ticket for international children ages 2-11. Full-day access to all 17 slides and attractions. Instant QR e-voucher delivered by email. Secure 256-bit SSL checkout. Use promo code SPLASH5 for 5% off.,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/uploads/waterbom-park-aerial.webp,101.00 USD,,in stock,new,Sporting Goods > Water Sports > Water Parks > Admission Tickets,Tickets > Single Day Pass > Child International,Waterbom Bali,no,unisex,kids,WB-CHILD-INTL-2026,ID::0::0,0 kg,ID::0::0,,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/tickets,SPLASH5
wb-adult-res-2026,Waterbom Bali Single Day Pass — Adult Indonesian Resident,Official Waterbom Bali e-ticket for Indonesian adult residents with valid KTP/KITAS. Full-day access to all 17 slides and attractions. Instant QR e-voucher delivered by email. Secure 256-bit SSL checkout.,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/uploads/waterbom-park-aerial.webp,75.51 USD,,in stock,new,Sporting Goods > Water Sports > Water Parks > Admission Tickets,Tickets > Single Day Pass > Adult Resident,Waterbom Bali,no,unisex,adult,WB-ADULT-RES-2026,ID::0::0,0 kg,ID::0::0,,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/tickets,
wb-child-res-2026,Waterbom Bali Single Day Pass — Child Indonesian Resident,Official Waterbom Bali e-ticket for Indonesian child residents ages 2-11 with valid KTP/KITAS. Full-day access to all 17 slides and attractions. Instant QR e-voucher delivered by email. Secure 256-bit SSL checkout.,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/uploads/waterbom-park-aerial.webp,66.33 USD,,in stock,new,Sporting Goods > Water Sports > Water Parks > Admission Tickets,Tickets > Single Day Pass > Child Resident,Waterbom Bali,no,unisex,kids,WB-CHILD-RES-2026,ID::0::0,0 kg,ID::0::0,,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/tickets,
wb-sunset-adult-2026,Waterbom Bali Sunset Pass — Adult International (12+),Official Waterbom Bali Sunset Pass for international adults aged 12+. Afternoon/evening entry with full access to all slides and attractions. Instant QR e-voucher delivered by email. Secure 256-bit SSL checkout.,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/uploads/waterbom-park-aerial.webp,75.51 USD,,in stock,new,Sporting Goods > Water Sports > Water Parks > Admission Tickets,Tickets > Sunset Pass > Adult International,Waterbom Bali,no,unisex,adult,WB-SUNSET-ADULT-2026,ID::0::0,0 kg,ID::0::0,,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/tickets,SPLASH5
wb-sunset-child-2026,Waterbom Bali Sunset Pass — Child International (2-11),Official Waterbom Bali Sunset Pass for international children ages 2-11. Afternoon/evening entry with full access to all slides and attractions. Instant QR e-voucher delivered by email. Secure 256-bit SSL checkout.,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/uploads/waterbom-park-aerial.webp,60.00 USD,,in stock,new,Sporting Goods > Water Sports > Water Parks > Admission Tickets,Tickets > Sunset Pass > Child International,Waterbom Bali,no,unisex,kids,WB-SUNSET-CHILD-2026,ID::0::0,0 kg,ID::0::0,,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/tickets,SPLASH5
wb-family-intl-2026,Waterbom Bali Family Day Pass — International (2 Adults + 2 Children),Best-value Waterbom Bali Family Day Pass for international visitors. Covers 2 adults and 2 children ages 2-11. Full-day access to all 17 slides and attractions. Instant QR e-vouchers delivered by email. Use promo code SPLASH5 for 5% off.,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/uploads/waterbom-park-aerial.webp,449.00 USD,,in stock,new,Sporting Goods > Water Sports > Water Parks > Admission Tickets,Packages > Family Day Pass > International,Waterbom Bali,no,unisex,adult,WB-FAMILY-INTL-2026,ID::0::0,0 kg,ID::0::0,,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/packages,SPLASH5
wb-family-res-2026,Waterbom Bali Family Day Pass — Indonesian Resident (2 Adults + 2 Children),Best-value Waterbom Bali Family Day Pass for Indonesian residents with valid KTP/KITAS. Covers 2 adults and 2 children ages 2-11. Full-day access to all 17 slides and attractions. Instant QR e-vouchers delivered by email.,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/uploads/waterbom-park-aerial.webp,265.31 USD,,in stock,new,Sporting Goods > Water Sports > Water Parks > Admission Tickets,Packages > Family Day Pass > Resident,Waterbom Bali,no,unisex,adult,WB-FAMILY-RES-2026,ID::0::0,0 kg,ID::0::0,,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/packages,
wb-combo-adult-intl-2026,Waterbom + Mason Elephant Park Combo — Adult International (12+),Two-park combo ticket: full day at Waterbom Bali plus entry to Mason Elephant Park & Lodge. Instant QR e-vouchers for both parks delivered by email. Use promo code SPLASH5 for 5% off.,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/uploads/waterbom-park-aerial.webp,183.67 USD,,in stock,new,Sporting Goods > Water Sports > Water Parks > Admission Tickets,Packages > Combo > Adult International,Waterbom Bali,no,unisex,adult,WB-COMBO-ADULT-INTL-2026,ID::0::0,0 kg,ID::0::0,,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/packages,SPLASH5
wb-combo-child-intl-2026,Waterbom + Mason Elephant Park Combo — Child International (2-11),Two-park combo ticket for children ages 2-11: full day at Waterbom Bali plus entry to Mason Elephant Park & Lodge. Instant QR e-vouchers for both parks delivered by email. Use promo code SPLASH5 for 5% off.,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/uploads/waterbom-park-aerial.webp,136.73 USD,,in stock,new,Sporting Goods > Water Sports > Water Parks > Admission Tickets,Packages > Combo > Child International,Waterbom Bali,no,unisex,kids,WB-COMBO-CHILD-INTL-2026,ID::0::0,0 kg,ID::0::0,,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/packages,SPLASH5
wb-combo-adult-res-2026,Waterbom + Mason Elephant Park Combo — Adult Indonesian Resident,Two-park combo ticket for Indonesian adult residents with valid KTP/KITAS: full day at Waterbom Bali plus entry to Mason Elephant Park & Lodge. Instant QR e-vouchers for both parks delivered by email.,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/uploads/waterbom-park-aerial.webp,96.00 USD,,in stock,new,Sporting Goods > Water Sports > Water Parks > Admission Tickets,Packages > Combo > Adult Resident,Waterbom Bali,no,unisex,adult,WB-COMBO-ADULT-RES-2026,ID::0::0,0 kg,ID::0::0,,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/packages,
wb-cabana-2026,Waterbom Bali VIP Cabana Add-on,Private shaded gazebo cabana add-on for up to 6 guests. Book together with day passes for the best experience. Subject to availability.,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/uploads/waterbom-park-aerial.webp,0.00 USD,,in stock,new,Sporting Goods > Water Sports > Water Parks > Admission Tickets,Add-ons > VIP Cabana,Waterbom Bali,no,unisex,adult,WB-CABANA-2026,ID::0::0,0 kg,ID::0::0,,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/packages,
wb-group-2026,Waterbom Bali Group & Birthday Package — Custom Quote,Custom group and birthday packages for 10+ guests. Includes day passes, reserved cabana space and cake credit on request. Enquire for a tailored quote.,https://waterbombalitickets.com/contact,https://waterbombalitickets.com/uploads/waterbom-park-aerial.webp,0.00 USD,,in stock,new,Sporting Goods > Water Sports > Water Parks > Admission Tickets,Packages > Group & Birthday,Waterbom Bali,no,unisex,adult,WB-GROUP-2026,ID::0::0,0 kg,ID::0::0,,https://waterbombalitickets.com/contact,https://waterbombalitickets.com/contact,
