id,title,description,link,image_link,price,availability,condition,brand,google_product_category,product_type,identifier_exists,age_group,shipping_weight,mpn,item_group_id,promotion_id
wb-adult-intl,Waterbom Bali Single Day Pass — Adult International,Official adult Single Day Pass for Waterbom Bali, Asia's #1 water park in Kuta. Full-day access to 22+ slides and attractions. Instant QR e-voucher. Valid for international travellers aged 12+.,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/uploads/waterbom-park-aerial.webp,128.57 USD,in stock,new,Waterbom Bali,Sports & Outdoors > Attractions & Theme Parks > Theme Parks,Theme Park Tickets,no,adult,0.01 kg,WB-ADULT-INTL,WB-SINGLE-DAY,SPLASH5
wb-child-intl,Waterbom Bali Single Day Pass — Child International,Official child Single Day Pass for Waterbom Bali. Full-day access to 22+ slides and attractions. Instant QR e-voucher. For children aged 2–11.,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/uploads/waterbom-aquaplay-aerial.webp,101.00 USD,in stock,new,Waterbom Bali,Sports & Outdoors > Attractions & Theme Parks > Theme Parks,Theme Park Tickets,no,child,0.01 kg,WB-CHILD-INTL,WB-SINGLE-DAY,SPLASH5
wb-adult-id,Waterbom Bali Single Day Pass — Adult Indonesian Resident,Official adult Single Day Pass for Indonesian residents (KTP/KITAS required at gate). Full-day access to 22+ slides and attractions. Instant QR e-voucher.,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/uploads/waterbom-tower-slide-palms.webp,75.51 USD,in stock,new,Waterbom Bali,Sports & Outdoors > Attractions & Theme Parks > Theme Parks,Theme Park Tickets,no,adult,0.01 kg,WB-ADULT-ID,WB-SINGLE-DAY,SPLASH5
wb-child-id,Waterbom Bali Single Day Pass — Child Indonesian Resident,Official child Single Day Pass for Indonesian residents (KTP/KITAS required at gate). Full-day access to 22+ slides and attractions. Instant QR e-voucher. For children aged 2–11.,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/uploads/waterbom-kids-tube-slide.webp,66.33 USD,in stock,new,Waterbom Bali,Sports & Outdoors > Attractions & Theme Parks > Theme Parks,Theme Park Tickets,no,child,0.01 kg,WB-CHILD-ID,WB-SINGLE-DAY,SPLASH5
wb-family-intl,Waterbom Bali Family Day Pass — International,Family Day Pass for 2 adults + 2 children. Full-day access to all 22+ slides and attractions. Best value per head. Instant QR e-voucher.,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/uploads/waterbom-gazebo.webp,449.00 USD,in stock,new,Waterbom Bali,Sports & Outdoors > Attractions & Theme Parks > Theme Parks,Theme Park Tickets,no,adult,0.01 kg,WB-FAMILY-INTL,WB-FAMILY-PASS,SPLASH5
wb-family-id,Waterbom Bali Family Day Pass — Indonesian Resident,Family Day Pass for 2 adults + 2 children for Indonesian residents (KTP/KITAS required). Full-day access to all slides and attractions. Instant QR e-voucher.,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/uploads/waterbom-park-aerial.webp,265.31 USD,in stock,new,Waterbom Bali,Sports & Outdoors > Attractions & Theme Parks > Theme Parks,Theme Park Tickets,no,adult,0.01 kg,WB-FAMILY-ID,WB-FAMILY-PASS,SPLASH5
wb-combo-adult-intl,Waterbom Bali + Mason Elephant Park Combo — Adult International,Two-park combo ticket: full day at Waterbom Bali plus entry to Mason Elephant Park & Lodge ethical sanctuary. Instant QR e-voucher.,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/uploads/waterbom-lazy-river-jungle.webp,183.67 USD,in stock,new,Waterbom Bali,Sports & Outdoors > Attractions & Theme Parks > Theme Parks,Attraction & Theme Park Tickets,no,adult,0.01 kg,WB-COMBO-ADULT-INTL,WB-COMBO,SPLASH5
wb-combo-child-intl,Waterbom Bali + Mason Elephant Park Combo — Child International,Two-park combo ticket for children aged 2–11: full day at Waterbom Bali plus entry to Mason Elephant Park & Lodge ethical sanctuary. Instant QR e-voucher.,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/uploads/waterbom-constrictor.webp,136.73 USD,in stock,new,Waterbom Bali,Sports & Outdoors > Attractions & Theme Parks > Theme Parks,Attraction & Theme Park Tickets,no,child,0.01 kg,WB-COMBO-CHILD-INTL,WB-COMBO,SPLASH5
wb-combo-adult-id,Waterbom Bali + Mason Elephant Park Combo — Adult Indonesian Resident,Two-park combo ticket for Indonesian residents (KTP/KITAS required). Full day at Waterbom Bali plus entry to Mason Elephant Park & Lodge. Instant QR e-voucher.,https://waterbombalitickets.com/packages,https://waterbombalitickets.com/uploads/waterbom-python-neon.webp,96.00 USD,in stock,new,Waterbom Bali,Sports & Outdoors > Attractions & Theme Parks > Theme Parks,Attraction & Theme Park Tickets,no,adult,0.01 kg,WB-COMBO-ADULT-ID,WB-COMBO,SPLASH5
wb-sunset-adult,Waterbom Bali Sunset Pass — Adult,Entry from 3PM until park close. Full access to all open slides and attractions. Instant QR e-voucher. Adult aged 12+.,https://waterbombalitickets.com/tickets,https://waterbombalitickets.com/uploads/waterbom-tower-slide-up.webp,75.51 USD,in stock,new,Waterbom Bali,Sports & Outdoors > Attractions & Theme Parks > Theme Parks,Theme Park Tickets,no,adult,0.01 kg,WB-SUNSET-ADULT,WB-SUNSET,SPLASH5
